TSPAN6	ENSG00000000003
PLEKHM1	ENSG00000225190
C14orf132	ENSG00000227051
PARG	ENSG00000227345
LTB	ENSG00000227507
C2orf92	ENSG00000228486
FNDC10	ENSG00000228594
ARL17B	ENSG00000228696
CCDC192	ENSG00000230561
HSBP1	ENSG00000230989
PLSCR5	ENSG00000231213
RNF224	ENSG00000233198
IFNA13	ENSG00000233816
UQCRHL	ENSG00000233954
PAGE2	ENSG00000234068
TRIM26	ENSG00000234127
MCIDAS	ENSG00000234602
BRD3OS	ENSG00000235106
MFRP	ENSG00000235718
PATE3	ENSG00000236027
ZBTB22	ENSG00000236104
AL354761.1	
ARHGEF38	ENSG00000236699
CKMT1B	ENSG00000237289
PATE4	ENSG00000237353
TMEM250	ENSG00000238227
TEX35	ENSG00000240021
LY6G5B	ENSG00000240053
SMKR1	ENSG00000240204
PCDHGC5	ENSG00000240764
MIF	ENSG00000240972
KRTAP5-8	ENSG00000241233
SERPINB10	ENSG00000242550
PRAF2	ENSG00000243279
AMY2A	ENSG00000243480
UPK3B	ENSG00000243566
IL10RB	ENSG00000243646
UBE2V1	ENSG00000244687
CEBPA	ENSG00000245848
TWF2	ENSG00000247596
INSL3	ENSG00000248099
SPATS1	ENSG00000249481
HS3ST5	ENSG00000249853
PTTG2	ENSG00000250254
AC010255.3	
USP17L23	ENSG00000250913
PRB1	ENSG00000251655
PTX4	ENSG00000251692
OC90	ENSG00000253117
PCDHGA12	ENSG00000253159
HOXA10	ENSG00000253293
CLDN23	ENSG00000253958
ZNF260	ENSG00000254004
LYN	ENSG00000254087
PINX1	ENSG00000254093
NPIPB11	ENSG00000254206
CHMP4A	ENSG00000254505
SMIM35	ENSG00000255274
OR6J1	ENSG00000255804
COA8	ENSG00000256053
ZNF225	ENSG00000256294
POLG2	ENSG00000256525
CNPY2	ENSG00000257727
SLC22A31	ENSG00000259803
RBM15B	ENSG00000259956
KCNJ18	ENSG00000260458
FIGNL2	ENSG00000261308
SCRT1	ENSG00000261678
MIA	ENSG00000261857
IKBKE	ENSG00000263528
NBPF15	ENSG00000266338
UPK3BL1	ENSG00000267368
EDDM13	ENSG00000267710
TRABD2B	ENSG00000269113
PRAMEF5	ENSG00000270601
ANKRD34A	ENSG00000272031
GRIN2B	ENSG00000273079
NBPF26	ENSG00000273136
ZBTB8B	ENSG00000273274
AGBL1	ENSG00000273540
CEACAM20	ENSG00000273777
NUDT18	ENSG00000275074
FCGBP	ENSG00000275395
DUSP14	ENSG00000276023
CCL3L1	ENSG00000277768
HIST1H4I	ENSG00000276180
KCNE1B	
PIP4K2B	ENSG00000276293
PKD1L3	ENSG00000277481
TEX28	ENSG00000278057
OR8K3	ENSG00000280314
PAGR1	ENSG00000280789
SPRR5	ENSG00000283227
FAM237B	ENSG00000283267
FAM240B	ENSG00000283329
C19orf85	ENSG00000283567
SLURP2	ENSG00000283992
SCO2	ENSG00000284194
AC084121.12	
